variant,split,edge_threshold,trades,pnl_cents,pnl_per_trade,win_rate,max_drawdown
base_only,tune,-0.02,959.0,3960.0,4.129301355578728,0.9322210636079249,-975.0
base_only,tune,0.0,858.0,3821.0,4.453379953379954,0.9627039627039627,-975.0
base_only,tune,0.01,742.0,3599.0,4.850404312668464,0.9595687331536388,-975.0
base_only,tune,0.02,647.0,3235.0,5.0,0.955177743431221,-975.0
base_only,tune,0.03,556.0,2945.0,5.296762589928058,0.9514388489208633,-938.0
base_only,tune,0.04,453.0,2953.0,6.518763796909492,0.9580573951434879,-846.0
base_only,tune,0.05,295.0,3125.0,10.59322033898305,0.976271186440678,-98.0
base_only,tune,0.06,214.0,2489.0,11.630841121495328,0.9672897196261683,-98.0
base_only,tune,0.075,125.0,1639.0,13.112,0.944,-98.0
base_only,tune,0.1,73.0,910.0,12.465753424657533,0.9041095890410958,-98.0
base_only,tune,0.125,34.0,526.0,15.470588235294118,0.9117647058823529,-50.0
base_only,tune,0.15,9.0,134.0,14.88888888888889,0.6666666666666666,-50.0
base_only,test,-0.02,33152.0,-151553.0,-4.571458735521236,0.6771235521235521,-214042.0
base_only,test,0.0,22232.0,-144373.0,-6.493927671824397,0.8141417776178481,-202935.0
base_only,test,0.01,13613.0,-66245.0,-4.866304267979138,0.8077572908249467,-114793.0
base_only,test,0.02,10269.0,-43913.0,-4.276268380562859,0.7869315415327686,-84624.0
base_only,test,0.03,6693.0,-12563.0,-1.877035708949649,0.8278798744957419,-44287.0
base_only,test,0.04,4900.0,-15096.0,-3.0808163265306123,0.7881632653061225,-39076.0
base_only,test,0.05,3186.0,-3939.0,-1.2363465160075329,0.7573760200878845,-20597.0
base_only,test,0.06,2011.0,1682.0,0.836399801093983,0.7593237195425162,-9765.0
base_only,test,0.075,764.0,-2823.0,-3.695026178010471,0.5549738219895288,-6513.0
base_only,test,0.1,329.0,-195.0,-0.5927051671732523,0.5501519756838906,-1935.0
base_only,test,0.125,188.0,-222.0,-1.1808510638297873,0.44148936170212766,-1092.0
base_only,test,0.15,129.0,-35.0,-0.2713178294573643,0.3023255813953488,-679.0
